day,Temperature (° F)_Max,Temperature (° F)_Avg,Temperature (° F)_Min,Dew Point (° F)_Max,Dew Point (° F)_Avg,Dew Point (° F)_Min,Humidity (%)_Max,Humidity (%)_Avg,Humidity (%)_Min,Wind Speed (mph)_Max,Wind Speed (mph)_Avg,Wind Speed (mph)_Min,Pressure (Hg)_Max,Pressure (Hg)_Avg,Pressure (Hg)_Min,Precipation (in)_Max,Precipation (in)_Avg,Precipation (in)_Min,date
11,58,52,46,52,45,39,94,-,53,15,-,0,29.82,-,29.62,-,0.20,-,201604
12,61,50,39,47,44,38,100,-,47,10,-,0,29.83,-,29.74,-,0.04,-,201604
13,62,54,46,48,45,43,93,-,41,10,-,0,29.87,-,29.71,-,0.12,-,201604
14,63,52,40,50,44,39,93,-,33,12,-,0,29.91,-,29.74,-,0.08,-,201604
15,61,55,49,50,46,43,87,-,46,21,-,6,29.76,-,29.59,-,0.04,-,201604
16,59,54,46,45,42,36,82,-,40,16,-,5,29.74,-,29.59,-,0.02,-,201604
17,53,45,37,37,34,28,93,-,28,14,-,0,30.14,-,29.74,-,0.00,-,201604
18,58,46,34,36,31,25,93,-,20,10,-,0,30.3,-,30.12,-,0.00,-,201604
19,59,48,36,41,37,32,87,-,34,12,-,0,30.36,-,30.3,-,0.00,-,201604
20,65,52,40,43,38,36,81,-,29,18,-,7,30.35,-,30.18,-,0.00,-,201604
21,69,58,47,50,42,36,66,-,35,13,-,0,30.19,-,30.06,-,0.00,-,201604
22,62,56,51,47,45,42,82,-,42,8,-,0,30.11,-,29.95,-,0.00,-,201604
23,51,46,41,45,37,28,82,-,36,14,-,5,30.12,-,29.92,-,0.00,-,201604
24,49,42,35,39,32,28,87,-,46,15,-,2,30.15,-,30.04,-,0.08,-,201604
25,52,44,37,43,37,31,87,-,38,20,-,2,30.13,-,29.74,-,0.04,-,201604
26,48,42,36,42,35,26,87,-,32,20,-,1,29.85,-,29.71,-,0.08,-,201604
27,51,42,34,36,32,28,87,-,30,14,-,2,29.96,-,29.83,-,0.02,-,201604
28,55,43,31,36,31,25,93,-,20,9,-,0,30.04,-,29.95,-,0.01,-,201604
29,57,50,42,43,37,30,87,-,35,20,-,4,30.02,-,29.95,-,0.03,-,201604
30,50,46,41,43,38,31,93,-,38,18,-,2,30.28,-,29.98,-,0.03,-,201604
1,59,46,34,37,34,30,87,-,25,14,-,0,30.39,-,30.27,-,0.00,-,201605
2,65,50,36,48,38,32,87,-,22,10,-,0,30.39,-,30.18,-,0.00,-,201605
3,61,54,46,50,39,31,88,-,23,15,-,4,30.38,-,30.18,-,0.03,-,201605
4,64,51,38,40,36,34,87,-,22,10,-,0,30.4,-,30.24,-,0.00,-,201605
5,68,54,41,39,36,32,76,-,19,15,-,2,30.25,-,29.95,-,0.00,-,201605
6,76,60,45,45,41,37,82,-,15,14,-,2,29.96,-,29.77,-,0.00,-,201605
7,73,62,51,46,44,41,82,-,22,16,-,2,29.81,-,29.74,-,0.00,-,201605
8,77,64,50,50,46,40,76,-,21,17,-,4,29.79,-,29.68,-,0.00,-,201605
9,70,65,60,58,53,46,88,-,35,20,-,7,29.81,-,29.74,-,0.12,-,201605
10,65,62,58,59,57,55,94,-,65,12,-,1,29.79,-,29.68,-,0.16,-,201605
11,64,59,54,59,56,53,100,-,69,7,-,0,29.7,-,29.53,-,0.24,-,201605
12,66,60,54,57,55,52,100,-,59,10,-,0,29.56,-,29.5,-,0.04,-,201605
13,74,66,55,59,55,46,94,-,42,14,-,2,29.8,-,29.56,-,0.08,-,201605
14,57,52,46,46,40,36,82,-,38,15,-,4,30.18,-,29.8,-,0.00,-,201605
15,60,49,38,41,38,34,87,-,31,10,-,0,30.26,-,30.18,-,0.00,-,201605
16,62,52,41,48,42,37,93,-,27,10,-,0,30.22,-,30.12,-,0.02,-,201605
17,66,54,41,48,43,39,93,-,31,13,-,0,30.17,-,30.01,-,0.00,-,201605
18,62,56,50,52,46,43,88,-,40,18,-,0,30,-,29.68,-,0.02,-,201605
19,63,56,48,50,47,45,94,-,51,14,-,0,30.09,-,29.74,-,0.43,-,201605
20,70,60,49,55,51,45,94,-,47,12,-,0,30.12,-,30.04,-,0.00,-,201605
21,76,66,55,59,55,50,94,-,38,16,-,2,30.07,-,29.77,-,0.01,-,201605
22,62,58,55,59,55,50,94,-,68,14,-,0,29.87,-,29.71,-,0.75,-,201605
23,59,55,51,52,49,46,94,-,57,13,-,4,30.14,-,29.86,-,0.24,-,201605
24,57,50,43,47,45,42,94,-,52,10,-,0,30.15,-,30.01,-,0.00,-,201605
25,66,55,44,50,46,40,87,-,41,10,-,2,30.02,-,29.92,-,0.00,-,201605
26,69,59,49,56,52,46,88,-,54,9,-,0,29.97,-,29.89,-,0.00,-,201605
27,76,65,54,59,56,52,94,-,36,7,-,0,29.96,-,29.92,-,0.08,-,201605
28,73,64,54,61,56,52,94,-,51,12,-,0,29.96,-,29.8,-,0.02,-,201605
29,63,60,57,59,56,54,94,-,75,9,-,4,29.8,-,29.71,-,0.04,-,201605
30,57,56,54,58,53,50,94,-,79,13,-,6,29.81,-,29.77,-,0.51,-,201605
31,59,56,54,57,54,52,94,-,85,10,-,5,29.94,-,29.74,-,0.31,-,201605
1,63,60,56,57,56,54,95,-,76,9,-,4,30.05,-,29.95,-,0.00,-,201606
2,55,54,53,54,52,50,94,-,80,20,-,5,30.01,-,29.89,-,0.12,-,201606
3,56,54,51,52,50,48,94,-,75,10,-,4,30,-,29.95,-,0.00,-,201606
4,63,58,53,57,53,51,94,-,70,8,-,4,30.05,-,29.95,-,0.00,-,201606
5,68,62,56,60,57,54,94,-,67,7,-,1,30.12,-,30.01,-,0.04,-,201606
6,75,65,55,64,59,53,100,-,59,4,-,0,30.14,-,30.06,-,0.00,-,201606
7,81,69,57,64,61,55,94,-,40,12,-,0,30.19,-,30.09,-,0.01,-,201606
8,73,65,57,61,58,53,88,-,57,9,-,1,30.21,-,30.12,-,0.00,-,201606
9,74,64,53,60,54,49,94,-,38,9,-,4,30.18,-,30.04,-,0.00,-,201606
10,74,64,54,55,53,50,88,-,35,7,-,2,30.05,-,29.83,-,0.00,-,201606
11,71,66,61,59,55,52,83,-,42,10,-,0,29.87,-,29.8,-,0.08,-,201606
12,67,62,58,61,57,53,94,-,54,15,-,0,29.89,-,29.74,-,0.16,-,201606
13,66,60,54,59,53,50,94,-,51,12,-,2,29.78,-,29.62,-,0.01,-,201606
14,68,62,56,55,52,47,94,-,36,16,-,4,29.64,-,29.5,-,0.03,-,201606
15,69,61,53,54,50,46,88,-,34,13,-,2,29.59,-,29.47,-,0.03,-,201606
16,68,62,55,55,53,50,94,-,47,9,-,0,29.64,-,29.53,-,0.08,-,201606
17,69,62,55,56,52,50,88,-,42,15,-,1,29.94,-,29.62,-,0.12,-,201606
18,69,62,55,57,53,48,94,-,47,14,-,2,30.24,-,29.95,-,0.12,-,201606
19,71,64,56,54,52,48,88,-,35,6,-,0,30.32,-,30.24,-,0.01,-,201606
20,64,62,59,61,56,52,94,-,61,15,-,2,30.26,-,30.04,-,0.55,-,201606
21,73,67,61,63,61,59,90,-,58,13,-,0,30.17,-,30.06,-,0.01,-,201606
22,83,73,63,68,64,61,94,-,41,10,-,0,30.17,-,30.06,-,0.03,-,201606
23,89,78,66,70,66,63,94,-,37,12,-,0,30.07,-,29.95,-,0.00,-,201606
24,77,70,64,67,59,54,88,-,37,9,-,2,30.14,-,30.04,-,0.00,-,201606
25,71,64,57,54,50,43,88,-,29,13,-,0,30.1,-,30.06,-,0.04,-,201606
26,71,62,54,52,50,46,88,-,31,13,-,1,30.17,-,30.09,-,0.00,-,201606
27,72,65,58,63,56,50,94,-,53,10,-,0,30.18,-,30.09,-,0.08,-,201606
28,72,65,58,56,53,52,82,-,43,15,-,0,30.16,-,29.89,-,0.00,-,201606
29,73,64,55,55,51,48,82,-,31,16,-,2,30.02,-,29.89,-,0.00,-,201606
30,73,67,61,64,57,51,88,-,54,15,-,4,29.98,-,29.92,-,0.12,-,201606
1,72,66,60,61,57,54,78,-,54,17,-,9,30,-,29.89,-,0.00,-,201607
2,67,62,56,54,49,44,82,-,36,15,-,2,30.15,-,29.98,-,0.01,-,201607
3,64,60,57,59,51,46,94,-,46,12,-,2,30.19,-,30.12,-,0.02,-,201607
4,70,64,57,59,56,52,94,-,44,8,-,0,30.17,-,30.09,-,0.08,-,201607
5,71,66,60,57,55,48,82,-,38,13,-,0,30.17,-,30.06,-,0.00,-,201607
6,75,63,51,52,50,47,88,-,30,7,-,0,30.22,-,30.15,-,0.00,-,201607
7,83,68,53,54,51,48,88,-,22,7,-,0,30.21,-,30.04,-,0.00,-,201607
8,83,70,57,61,55,51,88,-,27,15,-,0,30.17,-,30.01,-,0.00,-,201607
9,83,72,60,59,57,53,88,-,29,9,-,0,30.2,-,30.01,-,0.00,-,201607
10,86,74,63,63,57,50,88,-,21,18,-,0,30.02,-,29.83,-,0.00,-,201607
11,73,68,64,61,54,50,78,-,37,16,-,5,29.96,-,29.86,-,0.00,-,201607
12,71,64,57,56,52,48,94,-,34,12,-,2,30.01,-,29.92,-,0.04,-,201607
13,65,59,53,55,50,45,94,-,43,15,-,2,30.18,-,29.98,-,0.08,-,201607
14,70,61,52,50,47,45,88,-,31,12,-,1,30.33,-,30.15,-,0.01,-,201607
15,74,62,51,54,47,41,88,-,24,7,-,2,30.38,-,30.3,-,0.01,-,201607
16,79,68,58,61,56,50,77,-,41,6,-,0,30.36,-,30.24,-,0.00,-,201607
17,83,70,57,61,58,52,88,-,34,7,-,0,30.27,-,30.15,-,0.00,-,201607
18,86,74,61,63,59,57,88,-,29,10,-,0,30.21,-,30.09,-,0.00,-,201607
19,93,78,63,64,60,57,83,-,21,12,-,2,30.13,-,29.95,-,0.00,-,201607
20,85,76,68,64,60,57,73,-,29,14,-,0,29.96,-,29.86,-,0.00,-,201607
21,77,70,63,65,59,55,83,-,42,9,-,2,30.05,-,29.94,-,0.00,-,201607
22,81,71,61,59,57,54,77,-,35,12,-,2,30.06,-,30,-,0.00,-,201607
23,82,71,60,58,56,54,82,-,29,12,-,5,30.17,-,30.06,-,0.00,-,201607
24,81,69,57,58,55,53,82,-,30,9,-,0,30.19,-,30.09,-,0.00,-,201607
25,80,74,68,64,60,57,73,-,48,12,-,0,30.15,-,30.12,-,0.00,-,201607
26,73,65,57,56,53,51,82,-,38,10,-,2,30.21,-,30.15,-,0.01,-,201607
27,77,66,55,59,53,50,82,-,35,12,-,0,30.19,-,30.04,-,0.00,-,201607
28,76,70,64,63,58,52,94,-,32,14,-,0,30.07,-,30.01,-,0.00,-,201607
29,79,72,64,63,58,54,88,-,35,16,-,2,30,-,29.91,-,0.00,-,201607
30,73,67,61,56,54,52,77,-,40,9,-,0,29.98,-,29.95,-,0.00,-,201607
31,76,68,60,57,54,50,82,-,35,13,-,0,30.12,-,29.95,-,0.00,-,201607
1,75,65,55,54,49,46,82,-,27,9,-,0,30.16,-,30.09,-,0.00,-,201608
2,72,66,60,63,59,50,94,-,52,13,-,4,30.09,-,30.01,-,0.00,-,201608
3,77,70,63,63,60,57,88,-,45,15,-,4,30.03,-,29.89,-,0.02,-,201608
4,72,66,61,63,55,52,83,-,40,12,-,1,30.01,-,29.92,-,0.00,-,201608
5,73,64,56,55,53,50,88,-,35,10,-,1,30.28,-,30.01,-,0.00,-,201608
6,77,66,54,56,52,49,88,-,30,8,-,0,30.42,-,30.27,-,0.00,-,201608
7,85,70,55,61,54,52,88,-,24,9,-,0,30.43,-,30.21,-,0.00,-,201608
8,72,66,61,62,54,47,78,-,32,13,-,4,30.26,-,30.18,-,0.00,-,201608
9,72,63,54,52,46,39,88,-,22,12,-,0,30.27,-,30.21,-,0.00,-,201608
10,66,58,50,50,46,42,88,-,33,12,-,0,30.32,-,30.21,-,0.00,-,201608
11,73,60,47,52,47,43,87,-,31,15,-,0,30.32,-,30.21,-,0.00,-,201608
12,81,68,55,58,55,50,88,-,30,8,-,2,30.34,-,30.24,-,0.00,-,201608
13,83,70,56,56,53,46,88,-,21,7,-,0,30.28,-,30.18,-,0.00,-,201608
14,80,67,54,57,55,51,88,-,29,12,-,0,30.25,-,30.18,-,0.00,-,201608
15,81,68,56,57,55,52,82,-,29,13,-,2,30.23,-,30.06,-,0.00,-,201608
16,68,62,57,56,53,51,82,-,56,9,-,4,30.1,-,30.01,-,0.00,-,201608
18,74,71,68,66,63,61,83,-,62,12,-,2,29.83,-,29.8,-,0.00,-,201608
19,75,68,62,63,58,48,94,-,33,14,-,0,29.87,-,29.8,-,0.00,-,201608
20,77,68,58,59,54,46,88,-,26,20,-,2,30.04,-,29.86,-,0.00,-,201608
21,70,64,59,55,51,48,72,-,36,17,-,0,30.29,-,30.04,-,0.00,-,201608
22,83,72,62,55,53,51,68,-,26,12,-,1,30.35,-,30.27,-,0.00,-,201608
23,90,76,61,59,56,54,82,-,23,14,-,1,30.3,-,30.12,-,0.00,-,201608
24,97,80,64,61,58,54,83,-,16,8,-,2,30.14,-,30,-,0.00,-,201608
25,97,81,65,63,60,57,78,-,18,10,-,0,30.01,-,29.89,-,0.00,-,201608
26,92,80,67,66,63,61,83,-,28,10,-,0,30.03,-,29.92,-,0.00,-,201608
27,94,80,67,67,63,57,88,-,23,15,-,0,30.04,-,29.92,-,0.00,-,201608
28,82,75,68,63,56,50,78,-,24,15,-,1,30.06,-,29.92,-,0.00,-,201608
29,75,70,64,61,56,50,88,-,37,12,-,0,30.25,-,30.06,-,0.00,-,201608
30,79,68,56,57,55,53,88,-,31,8,-,4,30.3,-,30.15,-,0.00,-,201608
31,83,69,55,55,53,47,88,-,19,9,-,0,30.21,-,30.12,-,0.00,-,201608
1,80,68,55,56,53,51,88,-,30,10,-,0,30.29,-,30.18,-,0.00,-,201609
2,83,69,55,57,54,51,88,-,24,12,-,0,30.22,-,30.06,-,0.00,-,201609
3,82,70,57,57,55,53,82,-,28,9,-,0,30.14,-,29.98,-,0.00,-,201609
4,72,68,64,64,58,54,88,-,44,15,-,1,30.09,-,29.95,-,0.12,-,201609
5,67,63,59,64,60,55,94,-,62,8,-,0,30.25,-,30.09,-,0.08,-,201609
6,73,69,65,65,63,62,88,-,65,6,-,0,30.29,-,30.21,-,0.01,-,201609
7,83,69,55,63,56,52,94,-,26,12,-,1,30.2,-,29.89,-,0.01,-,201609
8,77,66,56,59,54,47,88,-,29,13,-,0,30.09,-,29.83,-,0.00,-,201609
9,79,65,51,54,49,46,88,-,23,8,-,0,30.13,-,30.01,-,0.00,-,201609
10,80,66,52,55,51,48,82,-,23,12,-,0,30.05,-,29.95,-,0.00,-,201609
11,77,71,65,63,60,55,88,-,43,9,-,0,30.09,-,30.01,-,0.00,-,201609
12,89,75,61,61,58,55,94,-,23,9,-,1,30.03,-,29.89,-,0.00,-,201609
13,92,80,69,61,59,55,69,-,19,13,-,2,29.91,-,29.74,-,0.00,-,201609
14,83,74,65,59,56,54,68,-,29,10,-,0,29.91,-,29.74,-,0.12,-,201609
15,69,64,60,63,59,54,94,-,50,16,-,0,29.94,-,29.77,-,0.12,-,201609
16,71,64,58,59,55,50,94,-,44,18,-,1,29.98,-,29.89,-,0.12,-,201609
17,64,60,56,55,53,52,88,-,59,14,-,2,30.09,-,29.98,-,0.02,-,201609
18,72,62,53,61,56,50,100,-,51,13,-,1,30.12,-,30.04,-,0.02,-,201609
19,66,62,57,57,56,54,94,-,55,8,-,2,30.16,-,30.12,-,0.08,-,201609
20,69,64,58,56,53,46,88,-,34,9,-,0,30.12,-,30.04,-,0.00,-,201609
21,74,60,47,52,49,44,88,-,32,7,-,0,30.11,-,30.04,-,0.00,-,201609
22,74,62,50,54,50,48,88,-,31,7,-,0,30.17,-,30.09,-,0.00,-,201609
23,75,65,55,55,53,51,88,-,34,7,-,0,30.31,-,30.15,-,0.00,-,201609
24,77,63,49,53,49,46,88,-,24,16,-,0,30.27,-,30.04,-,0.00,-,201609
25,68,60,51,59,50,46,83,-,38,12,-,0,30.24,-,29.98,-,0.04,-,201609
26,69,58,46,50,46,43,94,-,34,9,-,0,30.27,-,30.21,-,0.00,-,201609
27,74,61,48,49,47,45,88,-,27,8,-,0,30.36,-,30.24,-,0.00,-,201609
28,76,68,60,59,54,46,83,-,38,12,-,0,30.39,-,30.3,-,0.00,-,201609
29,71,64,56,57,56,54,94,-,47,15,-,4,30.3,-,30.01,-,0.00,-,201609
30,64,60,57,54,51,45,88,-,39,8,-,0,30.05,-,29.92,-,0.02,-,201609
1,66,58,51,54,50,45,94,-,40,15,-,0,29.89,-,29.8,-,0.01,-,201610
2,64,56,48,48,45,43,82,-,38,13,-,0,30.21,-,29.89,-,0.00,-,201610
3,66,53,40,48,41,37,93,-,26,8,-,0,30.39,-,30.21,-,0.01,-,201610
4,68,56,45,50,45,41,94,-,26,20,-,0,30.4,-,30.33,-,0.00,-,201610
5,63,54,46,47,41,34,87,-,26,20,-,4,30.35,-,30.24,-,0.00,-,201610
6,60,50,41,43,37,34,81,-,31,17,-,5,30.27,-,30.06,-,0.00,-,201610
7,59,53,47,47,44,41,82,-,50,14,-,6,30.13,-,30.06,-,0.00,-,201610
8,62,56,50,48,46,43,87,-,41,9,-,4,30.29,-,30.12,-,0.00,-,201610
9,60,48,37,43,37,34,93,-,26,8,-,0,30.32,-,30.27,-,0.00,-,201610
10,59,47,35,46,39,32,93,-,36,8,-,0,30.32,-,30.15,-,0.04,-,201610
11,56,47,38,45,41,37,100,-,41,9,-,0,30.19,-,30.09,-,0.01,-,201610
12,57,46,35,43,39,34,93,-,41,13,-,0,30.13,-,29.95,-,0.01,-,201610
13,53,47,41,45,41,37,87,-,51,14,-,6,29.97,-,29.71,-,0.01,-,201610
14,55,51,47,50,47,44,94,-,69,10,-,0,29.74,-,29.62,-,0.16,-,201610
15,64,54,45,52,48,41,94,-,49,16,-,0,29.99,-,29.65,-,0.01,-,201610
